Index,Tweet,Clean Text,Polarity,Subjectivity,Analysis,Label
0,Pentagon releases statement on US military posture in eastern Mediterranean region #IDF,pentagon releases statement us military posture eastern mediterranean region,0.0,0.1,Neutral,0
1,Mass displacement crisis: 8 million people fleeing violence in Lebanon and Gaza,mass displacement crisis million people fleeing violence lebanon gaza,-0.18,0.28,Negative,-1
2,Escalating conflict threatens to drag entire Middle East into devastating regional war,escalating conflict threatens drag entire middle east devastating regional war,-0.25,0.35,Negative,-1
3,Lebanon descends into chaos as Hezbollah and Israeli forces clash in brutal urban combat #HumanitarianAid,lebanon descends chaos hezbollah israeli forces clash brutal urban combat,-0.13,0.23,Negative,-1
4,Unity across religious lines as Jews Muslims and Christians pray together for peace,unity across religious lines jews muslims christians pray together peace,0.23,0.33,Positive,1
5,Israeli cabinet holds emergency meeting on Iran nuclear program developments,israeli cabinet holds emergency meeting iran nuclear program developments,-0.1,0.2,Negative,-1
6,US carrier strike group mobilizes as Iran threatens direct attack on American forces,us carrier strike group mobilizes iran threatens direct attack american forces,-0.15,0.25,Negative,-1
7,US warships intercept Iranian attack drones heading toward Israeli coastline,us warships intercept iranian attack drones heading toward israeli coastline,-0.1,0.2,Negative,-1
8,Iran cuts diplomatic ties with all Western nations supporting Israeli military operations #IsraelUnderAttack,iran cuts diplomatic ties western nations supporting israeli military operations,0.0,0.1,Neutral,0
9,Death toll rises to 191 after Iranian barrage hits northern Israel overnight,death toll rises iranian barrage hits northern israel overnight,-0.18,0.28,Negative,-1
10,US special forces casualties reported in covert operation against Iranian assets,us special forces casualties reported covert operation iranian assets,-0.09,0.19,Negative,-1
11,Iranian nuclear sites bombed by Israel sparking fears of radioactive contamination,iranian nuclear sites bombed israel sparking fears radioactive contamination,-0.09,0.19,Negative,-1
12,Iranian missile barrage overwhelms Israeli Iron Dome defense system in latest attack #HouthiAttack,iranian missile barrage overwhelms israeli iron dome defense system latest attack,-0.23,0.33,Negative,-1
13,Iran announces withdrawal from nuclear deal following Israeli attack on Natanz #HezbollahIsrael,iran announces withdrawal nuclear deal following israeli attack natanz,-0.17,0.27,Negative,-1
14,Iran launches 5 ballistic missiles at Beersheba causing widespread panic and destruction #RedSeaConflict,iran launches ballistic missiles beersheba causing widespread panic destruction,0.0,0.1,Neutral,0
15,Tragic loss of civilian life in Red Sea port as war crimes allegations mount against all sides #WarCrimes,tragic loss civilian life red sea port war crimes allegations mount sides,-0.11,0.21,Negative,-1
16,Iran cyber attacks cripple Israeli banking system and power grid infrastructure #NoMoreWar,iran cyber attacks cripple israeli banking system power grid infrastructure,0.0,0.1,Neutral,0
17,Israeli air defense fails to intercept 19 Iranian missiles hitting military bases,israeli air defense fails intercept iranian missiles hitting military bases,0.0,0.1,Neutral,0
18,Iranian nuclear sites bombed by Israel sparking fears of radioactive contamination #IranThreat,iranian nuclear sites bombed israel sparking fears radioactive contamination,-0.08,0.18,Negative,-1
19,Iranian Revolutionary Guard pledges total war if US intervenes militarily in conflict,iranian revolutionary guard pledges total war us intervenes militarily conflict,-0.17,0.27,Negative,-1
20,US sanctions squeeze Iranian economy but conflict shows no signs of ending #UNMiddleEast,us sanctions squeeze iranian economy conflict shows signs ending,-0.15,0.25,Negative,-1
21,Iran threatens nuclear escalation if Israel continues strikes on its military sites,iran threatens nuclear escalation israel continues strikes military sites,-0.17,0.27,Negative,-1
22,China calls for diplomatic solution as Iran-Israel conflict threatens global economy #NuclearDeal,china calls diplomatic solution iranisrael conflict threatens global economy,-0.08,0.18,Negative,-1
23,Iranian Revolutionary Guard pledges total war if US intervenes militarily in conflict,iranian revolutionary guard pledges total war us intervenes militarily conflict,-0.17,0.27,Negative,-1
24,Ceasefire talks collapse again as Iran refuses all US mediation conditions completely,ceasefire talks collapse again iran refuses us mediation conditions completely,0.0,0.27,Neutral,0
25,Relief workers praised for extraordinary bravery saving lives under missile fire,relief workers praised extraordinary bravery saving lives under missile fire,0.0,0.28,Neutral,0
26,War crimes tribunal called for as evidence mounts of deliberate civilian targeting #IranMissileStrike,war crimes tribunal called evidence mounts deliberate civilian targeting,-0.08,0.18,Negative,-1
27,Iran launches 138 ballistic missiles at Ashkelon causing widespread panic and destruction #HumanitarianAid,iran launches ballistic missiles ashkelon causing widespread panic destruction,0.0,0.1,Neutral,0
28,Iran claims responsibility for missile attack on Israeli military base in Negev desert,iran claims responsibility missile attack israeli military base negev desert,-0.15,0.25,Negative,-1
29,Diplomatic breakthrough: Iran suspends uranium enrichment in exchange for sanction relief #IranSanctions,diplomatic breakthrough iran suspends uranium enrichment exchange sanction relief,0.08,0.18,Positive,1
30,Ceasefire agreement reached in Iraqi Kurdistan after weeks of intense US diplomatic effort,ceasefire agreement reached iraqi kurdistan weeks intense us diplomatic effort,0.08,0.18,Positive,1
31,Israel estimates Iranian missile program has over 114000 projectiles in arsenal,israel estimates iranian missile program projectiles arsenal,-0.1,0.2,Negative,-1
32,Israeli air force conducts practice runs over Mediterranean preparing for Iran strikes #RefugeeCrisis,israeli air force conducts practice runs mediterranean preparing iran strikes,0.0,0.1,Neutral,0
33,Israel releases intelligence showing Iranian weapon transfers to Hezbollah in Lebanon,israel releases intelligence showing iranian weapon transfers hezbollah lebanon,0.0,0.1,Neutral,0
34,Israel confirms limited ground operation inside southern Lebanon against Hezbollah #MiddleEastCrisis,israel confirms limited ground operation inside southern lebanon hezbollah,0.0,0.1,Neutral,0
35,UN warns of catastrophic humanitarian disaster as Iran-Israel war intensifies,un warns catastrophic humanitarian disaster iranisrael war intensifies,0.0,0.3,Neutral,0
36,Jordan closes airspace to all military aircraft as Iran-Israel conflict intensifies,jordan closes airspace military aircraft iranisrael conflict intensifies,-0.09,0.19,Negative,-1
37,Civilians in Qom describe terror of constant air raid sirens and missile attacks,civilians qom describe terror constant air raid sirens missile attacks,-0.15,0.25,Negative,-1
38,Lebanon descends into chaos as Hezbollah and Israeli forces clash in brutal urban combat #USMilitary,lebanon descends chaos hezbollah israeli forces clash brutal urban combat,-0.13,0.23,Negative,-1
39,Thousands of Iranian soldiers mobilize near Israeli border threatening ground invasion,thousands iranian soldiers mobilize near israeli border threatening ground invasion,-0.09,0.19,Negative,-1
40,Iranian state media reports military exercise near Strait of Hormuz this week #IranSanctions,iranian state media reports military exercise near strait hormuz week,0.0,0.1,Neutral,0
41,Death toll rises to 173 after Iranian barrage hits northern Israel overnight,death toll rises iranian barrage hits northern israel overnight,-0.18,0.28,Negative,-1
42,Iran test fires ICBM capable of reaching European capitals raising global alarm #CeasefireNow,iran test fires icbm capable reaching european capitals raising global alarm,0.0,0.1,Neutral,0
43,Israel destroys Iranian oil refinery in major escalation of direct military strikes,israel destroys iranian oil refinery major escalation direct military strikes,-0.08,0.18,Negative,-1
44,Israeli forces destroy Iranian missile launchers in preemptive strike operation,israeli forces destroy iranian missile launchers preemptive strike operation,-0.3,0.4,Negative,-1
45,Iran announces it will not negotiate under military threat from Israel or United States,iran announces negotiate under military threat israel united states,0.0,0.24,Neutral,0
