Date,Tweet,Reply Count,Retweet Count,Like Count,Language,Source Label,Search
10/17/2024,Pentagon releases statement on US military posture in eastern Mediterranean region #IDF,21,139,89,en,Twitter Studio,IAEA Iran
10/7/2024,Mass displacement crisis: 8 million people fleeing violence in Lebanon and Gaza,17,50,558,en,Hootsuite,Israel defense
10/24/2024,Escalating conflict threatens to drag entire Middle East into devastating regional war,22,108,348,en,Twitter for iPad,UN Middle East
11/17/2024,Lebanon descends into chaos as Hezbollah and Israeli forces clash in brutal urban combat #HumanitarianAid,19,67,44,en,Buffer,Iran nuclear
12/22/2024,Unity across religious lines as Jews Muslims and Christians pray together for peace,11,147,196,en,Twitter for iPhone,US military Middle East
11/21/2024,Israeli cabinet holds emergency meeting on Iran nuclear program developments,8,116,373,en,Twitter for Android,Netanyahu speech
10/25/2024,US carrier strike group mobilizes as Iran threatens direct attack on American forces,17,62,167,en,Buffer,Iran Houthis
10/11/2024,US warships intercept Iranian attack drones heading toward Israeli coastline,7,8,323,en,Hootsuite,Middle East conflict
11/23/2024,Iran cuts diplomatic ties with all Western nations supporting Israeli military operations #IsraelUnderAttack,20,117,146,en,Twitter for iPad,Hezbollah Israel
11/27/2024,Death toll rises to 191 after Iranian barrage hits northern Israel overnight,18,102,370,en,Tweet Deck,Hezbollah Israel
10/23/2024,US special forces casualties reported in covert operation against Iranian assets,20,40,432,en,Twitter Studio,Stop the war
10/5/2024,Iranian nuclear sites bombed by Israel sparking fears of radioactive contamination,21,29,549,en,Twitter for iPad,Israeli airstrike
12/7/2024,Iranian missile barrage overwhelms Israeli Iron Dome defense system in latest attack #HouthiAttack,24,45,519,en,Twitter for iPhone,Iran retaliation
12/12/2024,Iran announces withdrawal from nuclear deal following Israeli attack on Natanz #HezbollahIsrael,24,135,0,en,Twitter Studio,Nuclear deal Iran
12/15/2024,Iran launches 5 ballistic missiles at Beersheba causing widespread panic and destruction #RedSeaConflict,2,21,497,en,Twitter for iPhone,Hezbollah Israel
10/31/2024,Tragic loss of civilian life in Red Sea port as war crimes allegations mount against all sides #WarCrimes,17,51,319,en,Hootsuite,Netanyahu speech
10/6/2024,Iran cyber attacks cripple Israeli banking system and power grid infrastructure #NoMoreWar,18,141,235,en,Twitter Studio,Israel defense
11/15/2024,Israeli air defense fails to intercept 19 Iranian missiles hitting military bases,2,131,243,en,Twitter for iPad,Refugee crisis
11/25/2024,Iranian nuclear sites bombed by Israel sparking fears of radioactive contamination #IranThreat,6,24,99,en,Hootsuite,Biden Iran policy
12/25/2024,Iranian Revolutionary Guard pledges total war if US intervenes militarily in conflict,3,15,412,en,TweetBot,Diplomacy Middle East
11/8/2024,US sanctions squeeze Iranian economy but conflict shows no signs of ending #UNMiddleEast,14,63,77,en,Buffer,Diplomacy Middle East
11/3/2024,Iran threatens nuclear escalation if Israel continues strikes on its military sites,5,104,497,en,Buffer,Humanitarian aid
11/6/2024,China calls for diplomatic solution as Iran-Israel conflict threatens global economy #NuclearDeal,25,116,292,en,Hootsuite,Refugee crisis
12/12/2024,Iranian Revolutionary Guard pledges total war if US intervenes militarily in conflict,1,80,58,en,Twitter Web App,War crimes Middle East
10/12/2024,Ceasefire talks collapse again as Iran refuses all US mediation conditions completely,19,17,240,en,Hootsuite,Iran nuclear
11/26/2024,Relief workers praised for extraordinary bravery saving lives under missile fire,21,149,578,en,SproutSocial,Nuclear deal Iran
12/1/2024,War crimes tribunal called for as evidence mounts of deliberate civilian targeting #IranMissileStrike,10,18,9,en,Buffer,Diplomacy Middle East
10/12/2024,Iran launches 138 ballistic missiles at Ashkelon causing widespread panic and destruction #HumanitarianAid,7,94,291,en,Twitter for Android,Iranian regime
12/13/2024,Iran claims responsibility for missile attack on Israeli military base in Negev desert,9,26,137,en,Twitter for iPad,Iran nuclear
11/16/2024,Diplomatic breakthrough: Iran suspends uranium enrichment in exchange for sanction relief #IranSanctions,6,67,517,en,Buffer,US Israel alliance
10/9/2024,Ceasefire agreement reached in Iraqi Kurdistan after weeks of intense US diplomatic effort,0,85,133,en,Twitter for iPad,Iran protests
10/18/2024,Israel estimates Iranian missile program has over 114000 projectiles in arsenal,2,38,558,en,Twitter Web App,Netanyahu speech
10/9/2024,Israeli air force conducts practice runs over Mediterranean preparing for Iran strikes #RefugeeCrisis,11,53,255,en,Twitter for iPhone,Biden Iran policy
11/3/2024,Israel releases intelligence showing Iranian weapon transfers to Hezbollah in Lebanon,5,45,422,en,Twitter Web App,US Iran sanctions
11/21/2024,Israel confirms limited ground operation inside southern Lebanon against Hezbollah #MiddleEastCrisis,1,120,227,en,Tweet Deck,Ceasefire talks
11/24/2024,UN warns of catastrophic humanitarian disaster as Iran-Israel war intensifies,10,71,71,en,Twitter for iPad,Biden Iran policy
10/18/2024,Jordan closes airspace to all military aircraft as Iran-Israel conflict intensifies,8,45,594,en,Twitter for iPad,US military Middle East
12/8/2024,Civilians in Qom describe terror of constant air raid sirens and missile attacks,3,98,590,en,Tweet Deck,US Israel alliance
12/28/2024,Lebanon descends into chaos as Hezbollah and Israeli forces clash in brutal urban combat #USMilitary,10,80,127,en,Twitter for iPad,Oil prices war
12/13/2024,Thousands of Iranian soldiers mobilize near Israeli border threatening ground invasion,4,49,430,en,Hootsuite,US Iran sanctions
11/28/2024,Iranian state media reports military exercise near Strait of Hormuz this week #IranSanctions,25,148,329,en,Buffer,Iranian regime
10/25/2024,Death toll rises to 173 after Iranian barrage hits northern Israel overnight,21,21,290,en,SproutSocial,Israeli airstrike
10/22/2024,Iran test fires ICBM capable of reaching European capitals raising global alarm #CeasefireNow,0,11,250,en,Buffer,Stop the war
11/4/2024,Israel destroys Iranian oil refinery in major escalation of direct military strikes,4,1,109,en,Hootsuite,Israel defense
10/19/2024,Israeli forces destroy Iranian missile launchers in preemptive strike operation,14,34,475,en,SproutSocial,Nuclear deal Iran
12/13/2024,Iran announces it will not negotiate under military threat from Israel or United States,14,40,486,en,Buffer,US Israel alliance
11/8/2024,Iran and Russia hold joint naval exercise in Caspian Sea amid Middle East tensions,14,19,292,en,Tweet Deck,Middle East conflict
12/31/2024,US military bases in Middle East hit by Iran-backed drone attacks overnight #NuclearDeal,4,54,65,en,Hootsuite,Lebanon war
11/22/2024,US carrier strike group mobilizes as Iran threatens direct attack on American forces #IsraeliAirstrike,24,149,20,en,Twitter Studio,Iran Houthis
11/26/2024,Hostages taken during Iranian proxy attack in northern Israel still unaccounted for,17,139,225,en,Buffer,Israel defense
10/25/2024,Thousands flee Baghdad as bombing intensifies in Iran-Israel war escalation #IranProtest,14,32,546,en,Twitter Web App,Red Sea conflict
10/27/2024,EU foreign ministers meet in Brussels to discuss Iran-Israel conflict diplomatic response #MiddleEastPeace,1,66,388,en,TweetBot,Humanitarian aid
11/5/2024,Iran-backed militias attack US military bases in Iraq killing American soldiers #IsraeliAirstrike,2,120,19,en,SproutSocial,US Iran warning
11/4/2024,UN warns of catastrophic humanitarian disaster as Iran-Israel war intensifies,6,5,156,en,Tweet Deck,Hezbollah Israel
